accx,accy,accz
0.5725,-0.7882,-0.4341
0.4762,-0.7052,-0.3711
0.4445,-0.6719,-0.3755
0.5256,-0.7691,-0.4634
0.657,-0.9177,-0.5035
0.7186,-1.013,-0.5425
0.682,-0.9548,-0.4654
0.4435,-0.7726,-0.4028
0.3307,-0.5561,-0.393
0.3629,-0.3963,-0.3823
0.3595,-0.3485,-0.3188
0.4592,-0.4012,-0.3569
0.6209,-0.4985,-0.5739
0.6312,-0.6133,-0.4532
0.5798,-0.6695,-0.4864
0.5583,-0.6382,-0.4864
0.6033,-0.5502,-0.5626
0.6336,-0.4921,-0.4795
0.6375,-0.4286,-0.5123
0.5662,-0.4252,-0.4126
0.3482,-0.3714,-0.2948
0.2882,-0.2644,-0.3857
0.338,-0.1877,-0.2323
0.2554,-0.0651,-0.4043
0.6019,-0.0831,-0.5318
0.8642,-0.2849,-0.5396
0.9727,-0.6749,-0.5753
0.6683,-0.907,-0.5181
0.5476,-0.886,-0.4639
0.5066,-0.604,-0.4698
0.6033,-0.4281,-0.4424
0.5867,-0.3841,-0.3471
0.5364,-0.431,-0.3124
0.4562,-0.4413,-0.3945
0.4509,-0.4335,-0.3974
0.5281,-0.4858,-0.5464
0.6326,-0.5874,-0.4443
0.5764,-0.6255,-0.4238
0.5906,-0.6842,-0.3999
0.6341,-0.7697,-0.4009
0.5936,-0.8996,-0.416
0.6151,-1.0413,-0.4458
0.4973,-0.9768,-0.3349
0.467,-0.8439,-0.4248
0.4084,-0.8014,-0.3789
0.3351,-0.7819,-0.3799
0.3111,-0.7623,-0.3501
0.2652,-0.7345,-0.4219
0.2276,-0.7613,-0.418
0.2672,-0.8224,-0.4316
0.2578,-0.8102,-0.4937
0.2168,-0.778,-0.4878
0.2427,-0.927,-0.545
0.465,-1.2504,-0.5259
0.4635,-1.3076,-0.5342
0.3409,-1.0452,-0.3633
0.1303,-0.7086,-0.3437
0.0834,-0.5693,-0.3232
0.1318,-0.6372,-0.3056
0.1992,-0.7325,-0.3329
0.168,-0.7481,-0.3451
0.2197,-0.8424,-0.4136
0.3624,-0.9524,-0.4659
0.4064,-0.992,-0.4243
0.2647,-0.9553,-0.417
0.1695,-0.927,-0.5137
0.2539,-0.9597,-0.5782
0.4006,-0.9837,-0.5416
0.4054,-0.9333,-0.4927
0.3385,-0.8546,-0.4576
0.2549,-0.7359,-0.4131
0.1357,-0.6333,-0.3329
0.1729,-0.6851,-0.3467
0.2129,-0.7491,-0.3613
0.2217,-0.7359,-0.3882
0.2559,-0.7657,-0.4292
0.3512,-0.8356,-0.4922
0.4118,-0.9426,-0.5367
0.4391,-0.9832,-0.5372
0.4342,-0.9113,-0.4859
0.3536,-0.8078,-0.4258
0.3277,-0.7873,-0.4649
0.3478,-0.862,-0.5587
0.4557,-0.9182,-0.5503
0.4499,-0.8952,-0.5646
0.3835,-0.8087,-0.4864
0.3502,-0.7633,-0.4321
0.3668,-0.7432,-0.4189
0.4411,-0.7423,-0.4732
0.4709,-0.7222,-0.4664
0.4333,-0.6998,-0.4219
0.4186,-0.7017,-0.4199
0.4767,-0.732,-0.4365
0.5251,-0.7569,-0.4668
0.5691,-0.7594,-0.4429
0.5515,-0.6988,-0.4233
0.4949,-0.5967,-0.3916
0.4822,-0.5507,-0.4145
0.446,-0.5942,-0.4512
0.4225,-0.6167,-0.4839
0.4783,-0.5688,-0.5098
0.4997,-0.4252,-0.4849
0.4958,-0.347,-0.5118
0.5271,-0.3382,-0.5792
0.6155,-0.3924,-0.6799
0.6746,-0.5038,-0.5704
0.5818,-0.5356,-0.5695
0.3976,-0.4203,-0.4844
0.3688,-0.2547,-0.459
0.4733,-0.1857,-0.4751
0.6136,-0.2762,-0.4057
0.7035,-0.41,-0.3823
0.6717,-0.4516,-0.4297
0.659,-0.4266,-0.3887
0.6136,-0.4374,-0.418
0.7465,-0.516,-0.4204
0.6321,-0.4999,-0.3711
0.6043,-0.4867,-0.3999
0.5989,-0.4892,-0.374
0.5916,-0.5068,-0.4209
0.5041,-0.54,-0.373
0.5432,-0.5981,-0.417
0.4783,-0.5898,-0.3989
0.5344,-0.6304,-0.5167
0.5247,-0.6607,-0.3877
0.4049,-0.6367,-0.4991
0.4269,-0.648,-0.4732
0.4567,-0.625,-0.5352
0.5588,-0.6885,-0.6364
0.5608,-0.8424,-0.4913
0.4216,-0.9299,-0.5851
0.3976,-0.9582,-0.4917
0.3214,-0.7975,-0.4497
0.3888,-0.6739,-0.4219
0.4274,-0.6553,-0.3153
0.4103,-0.6715,-0.438
0.4176,-0.7135,-0.3818
0.3683,-0.8195,-0.4463
0.4103,-1.0057,-0.4004
0.4778,-1.141,-0.4776
0.4611,-1.0956,-0.4057
0.3058,-0.8644,-0.3535
0.1284,-0.7052,-0.3725
0.1147,-0.732,-0.4458
0.316,-0.8869,-0.4512
0.3815,-0.903,-0.4624
0.3771,-0.8918,-0.4311
0.2373,-0.8278,-0.3535
